% Model:              advection_diffusion.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 30 2021, 11:59
% Dimension:          1
% Nodes:              41
% Expressions:        1
% Description:        Dependent variable u
% cln1x;u (mol/m^3) @ t=0
0.0000;1.0000E-7
0.25000;1.0001E-7
0.50000;1.0001E-7
0.75000;1.0567E-7
1.0000;8.9187E-8
1.2500;4.9981E-8
1.5000;3.4085E-9
1.7500;-4.5677E-9
2.0000;-2.3972E-12
2.2500;3.3230E-12
2.5000;-2.3989E-12
2.7500;2.7396E-12
3.0000;-2.2257E-12
3.2500;-5.5645E-9
3.5000;4.9292E-9
3.7500;5.0010E-8
4.0000;9.6594E-8
4.2500;1.0457E-7
4.5000;1.0000E-7
4.7500;9.9996E-8
5.0000;1.0000E-7
5.2500;9.9996E-8
5.5000;1.0001E-7
5.7500;1.0557E-7
6.0000;9.5072E-8
6.2500;5.0008E-8
6.5000;9.9951E-9
6.7500;-5.9275E-9
7.0000;-8.7595E-13
7.2500;-1.5143E-12
7.5000;-1.3723E-12
7.7500;-4.5013E-13
8.0000;1.2524E-12
8.2500;-5.6671E-9
8.5000;1.0821E-8
8.7500;5.0049E-8
9.0000;1.0145E-7
9.2500;1.0003E-7
9.5000;1.0000E-7
9.7500;9.9977E-8
10.000;9.9962E-8
