% Model:              advection_diffusion.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 30 2021, 11:55
% Dimension:          1
% Nodes:              41
% Expressions:        1
% Description:        Dependent variable u
% cln1x;u (mol/m^3) @ t=0
0.0000;9.9999E-8
0.25000;1.0000E-7
0.50000;1.0514E-7
0.75000;1.0300E-7
1.0000;8.4620E-8
1.2500;4.9996E-8
1.5000;1.3825E-8
1.7500;-4.1100E-9
2.0000;-3.8102E-9
2.2500;-1.7703E-12
2.5000;1.2754E-12
2.7500;-2.7573E-12
3.0000;-5.1445E-9
3.2500;-3.0003E-9
3.5000;1.5382E-8
3.7500;5.0003E-8
4.0000;8.6177E-8
4.2500;1.0411E-7
4.5000;1.0381E-7
4.7500;9.9999E-8
5.0000;9.9999E-8
5.2500;1.0000E-7
5.5000;1.0514E-7
5.7500;1.0300E-7
6.0000;8.4618E-8
6.2500;4.9993E-8
6.5000;1.3977E-8
6.7500;-4.0097E-9
7.0000;-3.9671E-9
7.2500;-1.8667E-12
7.5000;9.9173E-13
7.7500;-1.6879E-12
8.0000;-4.5500E-9
8.2500;-3.5821E-9
8.5000;1.4607E-8
8.7500;5.0017E-8
9.0000;9.4824E-8
9.2500;1.0568E-7
9.5000;1.0001E-7
9.7500;1.0000E-7
10.000;9.9952E-8
