,Unnamed: 0,total_counts,area,time,D (um^2/s),alpha (1/s)
0,0.0,429.99746354282274,443016,0.0,0.0055,0.0027
1,1.0,429.5675140152025,443236,1.0,0.0055,0.0027
2,2.0,429.5677885675278,444235,2.0,0.0055,0.0027
3,3.0,429.5677833101617,445138,3.0,0.0055,0.0027
4,4.0,429.5676007310208,445980,4.0,0.0055,0.0027
5,5.0,429.5675602065794,446716,5.0,0.0055,0.0027
6,6.0,429.5676978276607,447386,6.0,0.0055,0.0027
7,7.0,429.5675179403828,447985,7.0,0.0055,0.0027
8,8.0,429.5675587130877,448508,8.0,0.0055,0.0027
9,9.0,429.56752811239573,448951,9.0,0.0055,0.0027
10,10.0,429.5677183122683,449355,10.0,0.0055,0.0027
11,11.0,429.5676999864284,449692,11.0,0.0055,0.0027
12,12.0,429.5677253252411,449974,12.0,0.0055,0.0027
13,13.0,429.5675754189688,450202,13.0,0.0055,0.0027
14,14.0,429.5675211624127,450387,14.0,0.0055,0.0027
15,15.0,429.567729773807,450545,15.0,0.0055,0.0027
16,16.0,429.5677089381758,450667,16.0,0.0055,0.0027
17,17.0,429.56758426087345,450747,17.0,0.0055,0.0027
18,18.0,429.5674716853677,450786,18.0,0.0055,0.0027
19,19.0,429.56755569798344,450800,19.0,0.0055,0.0027
20,20.0,429.5676395739011,450778,20.0,0.0055,0.0027
21,21.0,429.5675170671451,450719,21.0,0.0055,0.0027
22,22.0,429.5675353582085,450632,22.0,0.0055,0.0027
23,23.0,429.5675099271742,450525,23.0,0.0055,0.0027
24,24.0,429.5675976953027,450390,24.0,0.0055,0.0027
25,25.0,429.5677060863279,450226,25.0,0.0055,0.0027
26,26.0,429.5675252903737,450042,26.0,0.0055,0.0027
27,27.0,429.56761046655134,449838,27.0,0.0055,0.0027
28,28.0,429.5674684214508,449609,28.0,0.0055,0.0027
29,29.0,429.56748505995085,449357,29.0,0.0055,0.0027
30,30.0,429.5676254141507,449091,30.0,0.0055,0.0027
31,31.0,429.56753544153366,448804,31.0,0.0055,0.0027
32,32.0,429.5674800209234,448497,32.0,0.0055,0.0027
33,33.0,429.567483094893,448174,33.0,0.0055,0.0027
34,34.0,429.56762038613255,447840,34.0,0.0055,0.0027
35,35.0,429.5676464777912,447490,35.0,0.0055,0.0027
36,36.0,429.5675577347706,447124,36.0,0.0055,0.0027
37,37.0,429.56753703329537,446743,37.0,0.0055,0.0027
38,38.0,429.5675536160979,446347,38.0,0.0055,0.0027
39,39.0,429.5675672380798,445936,39.0,0.0055,0.0027
40,40.0,429.5676321034553,445511,40.0,0.0055,0.0027
41,41.0,429.5676287176972,445078,41.0,0.0055,0.0027
42,42.0,429.5676118949787,444632,42.0,0.0055,0.0027
43,43.0,429.5675619710016,444173,43.0,0.0055,0.0027
44,44.0,429.5676926583096,443702,44.0,0.0055,0.0027
45,45.0,429.5675238660914,443217,45.0,0.0055,0.0027
46,46.0,429.5674848111091,442720,46.0,0.0055,0.0027
47,47.0,429.5675290502542,442211,47.0,0.0055,0.0027
48,48.0,429.5676163571046,441695,48.0,0.0055,0.0027
49,49.0,429.56767787611057,441170,49.0,0.0055,0.0027
50,50.0,429.5675642449345,440635,50.0,0.0055,0.0027
51,51.0,429.5675527878268,440092,51.0,0.0055,0.0027
52,52.0,429.5675972022923,439541,52.0,0.0055,0.0027
53,53.0,429.5674744246592,438981,53.0,0.0055,0.0027
54,54.0,429.5676333973566,438414,54.0,0.0055,0.0027
55,55.0,429.56761878590146,437839,55.0,0.0055,0.0027
56,56.0,429.5674772283632,437257,56.0,0.0055,0.0027
57,57.0,429.5675864155053,436668,57.0,0.0055,0.0027
58,58.0,429.56747133850945,436070,58.0,0.0055,0.0027
59,59.0,429.5676420358921,435467,59.0,0.0055,0.0027
60,60.0,429.56762356917454,434858,60.0,0.0055,0.0027
