,equivalent_diameter,major_axis_length,minor_axis_length,frame_num,time interval (s),filename
0,166.5917235536998,167.973048900864,165.8020895424505,66,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane1_pos2/220407_slide1_lane1_pos2_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_50ms_DLPBlue_skip1_8thcircle_frame30_photobleach_1
1,727.7695734342407,781.2917047697206,736.9191434249304,61,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane1_pos5_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_50ms_DLPBlue_skip1_8thcircle_frame35_photobleach_1
2,830.4648363886706,885.1095864263674,814.1597249809182,53,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane1_pos6_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_50ms_DLPBlue_skip1_8thcircle_frame40_photobleach_1
3,795.6865528460406,823.6728571774615,785.2120794678092,58,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane1_pos7_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_50ms_DLPBlue_skip1_8thcircle_frame45_photobleach_2
4,806.4998827434672,829.125276517242,814.8502654860506,53,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane1_pos8_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_50ms_DLPBlue_skip1_8thcircle_frame48_photobleach_1
5,753.8265372435303,782.6200258704458,737.9318754291471,62,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane1_pos8_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_50ms_DLPBlue_skip1_8thcircle_frame53_photobleach_1
6,769.665436475091,846.6348460850554,789.9650372116996,52,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane2_pos1_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_75ms_DLPBlue_skip1_8thcircle_no_photobleach_1
7,768.6945909256926,807.2494748531967,773.2434042923638,57,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane2_pos2_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_75ms_DLPBlue_skip1_8thcircle_frame35_photobleach_1
8,773.4674989464858,861.2710698437795,793.3845534018479,50,10,../../../data/active_stress/ncd281_photobleach/220407_slide1_lane3_pos2_10s_intervals_ncd281_microiLid_10ms_AllOff_100ms_DLPRed_75ms_DLPBlue_skip1_8thcircle_frame35_photobleach_1
