% Model:              advection_diffusion.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 30 2021, 12:02
% Dimension:          1
% Nodes:              41
% Expressions:        1
% Description:        Dependent variable u
% cln1x;u (mol/m^3) @ t=0
0.0000;1.0000E-7
0.25000;1.0000E-7
0.50000;9.9999E-8
0.75000;9.9988E-8
1.0000;1.0535E-7
1.2500;4.9980E-8
1.5000;-4.2465E-9
1.7500;1.0642E-11
2.0000;1.1982E-12
2.2500;5.4034E-13
2.5000;1.7966E-13
2.7500;4.0310E-13
3.0000;2.3004E-12
3.2500;1.2431E-11
3.5000;-5.3502E-9
3.7500;5.0026E-8
4.0000;1.0425E-7
4.2500;9.9990E-8
4.5000;1.0000E-7
4.7500;1.0000E-7
5.0000;1.0000E-7
5.2500;1.0000E-7
5.5000;9.9998E-8
5.7500;9.9988E-8
6.0000;1.0535E-7
6.2500;4.9970E-8
6.5000;-4.2456E-9
6.7500;1.0363E-11
7.0000;1.1665E-12
7.2500;5.2462E-13
7.5000;2.0324E-13
7.7500;4.7539E-13
8.0000;2.7444E-12
8.2500;1.4710E-11
8.5000;-5.3478E-9
8.7500;4.9975E-8
9.0000;1.0597E-7
9.2500;1.0001E-7
9.5000;1.0001E-7
9.7500;1.0002E-7
10.000;9.9920E-8
