% Model:              advection_diffusion.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 25 2021, 17:34
% Dimension:          1
% Nodes:              21
% Expressions:        6
% Description:        Dependent variable u
% cln1x,u (mol/m^3) @ t=0,u (mol/m^3) @ t=20,u (mol/m^3) @ t=40,u (mol/m^3) @ t=80,u (mol/m^3) @ t=160,u (mol/m^3) @ t=990
0.0000,-1.3110E-12,3.9188E-8,5.7143E-8,6.7985E-8,7.2224E-8,7.3065E-8
0.50000,1.0926E-12,3.9614E-8,5.6744E-8,6.7218E-8,7.1340E-8,7.2157E-8
1.0000,-7.5948E-13,4.0691E-8,5.5532E-8,6.4967E-8,6.8755E-8,6.9505E-8
1.5000,1.7569E-11,4.2008E-8,5.3502E-8,6.1364E-8,6.4639E-8,6.5285E-8
2.0000,-2.5043E-9,4.2916E-8,5.0667E-8,5.6656E-8,5.9302E-8,5.9821E-8
2.5000,3.6870E-8,4.2905E-8,4.7068E-8,5.1108E-8,5.3070E-8,5.3453E-8
3.0000,6.4215E-8,4.1602E-8,4.2810E-8,4.5044E-8,4.6337E-8,4.6586E-8
3.5000,5.4138E-8,3.8931E-8,3.8053E-8,3.8786E-8,3.9477E-8,3.9607E-8
4.0000,4.4922E-8,3.5050E-8,3.2986E-8,3.2605E-8,3.2799E-8,3.2830E-8
4.5000,3.6326E-8,3.0326E-8,2.7847E-8,2.6761E-8,2.6581E-8,2.6540E-8
5.0000,2.8647E-8,2.5259E-8,2.2884E-8,2.1451E-8,2.1022E-8,2.0933E-8
5.5000,2.2045E-8,2.0240E-8,1.8278E-8,1.6784E-8,1.6221E-8,1.6107E-8
6.0000,1.6529E-8,1.5642E-8,1.4179E-8,1.2805E-8,1.2197E-8,1.2077E-8
6.5000,1.2092E-8,1.1685E-8,1.0687E-8,9.5343E-9,8.9499E-9,8.8353E-9
7.0000,8.6284E-9,8.4495E-9,7.8201E-9,6.9226E-9,6.4053E-9,6.3048E-9
7.5000,6.0075E-9,5.9348E-9,5.5627E-9,4.9028E-9,4.4729E-9,4.3900E-9
8.0000,4.0740E-9,4.0453E-9,3.8388E-9,3.3785E-9,3.0408E-9,2.9761E-9
8.5000,2.7000E-9,2.6888E-9,2.5785E-9,2.2714E-9,2.0204E-9,1.9725E-9
9.0000,1.7398E-9,1.7363E-9,1.6798E-9,1.4826E-9,1.3051E-9,1.2714E-9
9.5000,1.0992E-9,1.0970E-9,1.0673E-9,9.4391E-10,8.2509E-10,8.0255E-10
10.000,6.7403E-10,6.7486E-10,6.5791E-10,5.8241E-10,5.0776E-10,4.9361E-10
