,Unnamed: 0,total_counts,area,time,D (um^2/s),alpha (1/s)
0,0.0,429.9973836743663,443016,0.0,0.005,0.0014
1,1.0,429.56768705980863,444083,1.0,0.005,0.0014
2,2.0,429.5677119890224,445923,2.0,0.005,0.0014
3,3.0,429.5677546754972,447695,3.0,0.005,0.0014
4,4.0,429.5674612072832,449416,4.0,0.005,0.0014
5,5.0,429.56741378414466,451054,5.0,0.005,0.0014
6,6.0,429.5674261605837,452620,6.0,0.005,0.0014
7,7.0,429.5674271361131,454138,7.0,0.005,0.0014
8,8.0,429.5674113861023,455589,8.0,0.005,0.0014
9,9.0,429.56756121715154,456964,9.0,0.005,0.0014
10,10.0,429.5674905682404,458306,10.0,0.005,0.0014
11,11.0,429.5676512530793,459572,11.0,0.005,0.0014
12,12.0,429.567386384551,460812,12.0,0.005,0.0014
13,13.0,429.5675684870503,461996,13.0,0.005,0.0014
14,14.0,429.5676231847185,463162,14.0,0.005,0.0014
15,15.0,429.56762754520093,464271,15.0,0.005,0.0014
16,16.0,429.567633010552,465349,16.0,0.005,0.0014
17,17.0,429.5675747167662,466389,17.0,0.005,0.0014
18,18.0,429.5675187154288,467407,18.0,0.005,0.0014
19,19.0,429.5674836981141,468366,19.0,0.005,0.0014
20,20.0,429.5674007844345,469309,20.0,0.005,0.0014
21,21.0,429.56747284645456,470219,21.0,0.005,0.0014
22,22.0,429.567595426612,471104,22.0,0.005,0.0014
23,23.0,429.5675130083864,471953,23.0,0.005,0.0014
24,24.0,429.5674478610144,472772,24.0,0.005,0.0014
25,25.0,429.5676191969035,473584,25.0,0.005,0.0014
26,26.0,429.5674129967676,474354,26.0,0.005,0.0014
27,27.0,429.5675626210522,475100,27.0,0.005,0.0014
28,28.0,429.56744028800534,475836,28.0,0.005,0.0014
29,29.0,429.56742682126435,476537,29.0,0.005,0.0014
30,30.0,429.5674544850989,477221,30.0,0.005,0.0014
31,31.0,429.5675140250394,477887,31.0,0.005,0.0014
32,32.0,429.5674204282081,478531,32.0,0.005,0.0014
33,33.0,429.56742934049714,479163,33.0,0.005,0.0014
34,34.0,429.56741967003694,479777,34.0,0.005,0.0014
35,35.0,429.5673967497599,480362,35.0,0.005,0.0014
36,36.0,429.5675958674983,480930,36.0,0.005,0.0014
37,37.0,429.5675711708,481482,37.0,0.005,0.0014
38,38.0,429.5675105716138,482006,38.0,0.005,0.0014
39,39.0,429.5675213064988,482520,39.0,0.005,0.0014
40,40.0,429.56745783713114,483023,40.0,0.005,0.0014
41,41.0,429.5675616377098,483505,41.0,0.005,0.0014
42,42.0,429.5674543218721,483961,42.0,0.005,0.0014
43,43.0,429.5673974921819,484399,43.0,0.005,0.0014
44,44.0,429.5675491218966,484824,44.0,0.005,0.0014
45,45.0,429.56747316299663,485224,45.0,0.005,0.0014
46,46.0,429.5674522621365,485614,46.0,0.005,0.0014
47,47.0,429.5674181453171,485992,47.0,0.005,0.0014
48,48.0,429.5674253939874,486359,48.0,0.005,0.0014
49,49.0,429.5675249807804,486708,49.0,0.005,0.0014
50,50.0,429.56755401936863,487036,50.0,0.005,0.0014
51,51.0,429.5675403519885,487346,51.0,0.005,0.0014
52,52.0,429.5675259924101,487642,52.0,0.005,0.0014
53,53.0,429.5674256210606,487930,53.0,0.005,0.0014
54,54.0,429.5674374965592,488208,54.0,0.005,0.0014
55,55.0,429.5675687871404,488470,55.0,0.005,0.0014
56,56.0,429.5675390858775,488717,56.0,0.005,0.0014
57,57.0,429.5674663909917,488952,57.0,0.005,0.0014
58,58.0,429.5675172613141,489176,58.0,0.005,0.0014
59,59.0,429.5675270419461,489384,59.0,0.005,0.0014
60,60.0,429.56743548309424,489577,60.0,0.005,0.0014
61,61.0,429.5674286778197,489765,61.0,0.005,0.0014
62,62.0,429.567392150024,489942,62.0,0.005,0.0014
63,63.0,429.5675248106076,490110,63.0,0.005,0.0014
64,64.0,429.56745412755765,490267,64.0,0.005,0.0014
65,65.0,429.5673910496229,490411,65.0,0.005,0.0014
66,66.0,429.5675834276887,490543,66.0,0.005,0.0014
67,67.0,429.5675327508744,490661,67.0,0.005,0.0014
68,68.0,429.56746871098215,490777,68.0,0.005,0.0014
69,69.0,429.5674245204137,490886,69.0,0.005,0.0014
70,70.0,429.5675583347153,490988,70.0,0.005,0.0014
71,71.0,429.5675269735587,491081,71.0,0.005,0.0014
72,72.0,429.5675142929863,491164,72.0,0.005,0.0014
73,73.0,429.567575986393,491237,73.0,0.005,0.0014
74,74.0,429.5673975411973,491299,74.0,0.005,0.0014
75,75.0,429.567508645907,491353,75.0,0.005,0.0014
76,76.0,429.5675543557326,491398,76.0,0.005,0.0014
77,77.0,429.5675112615767,491434,77.0,0.005,0.0014
78,78.0,429.56752179844375,491470,78.0,0.005,0.0014
79,79.0,429.56748932163134,491500,79.0,0.005,0.0014
80,80.0,429.56758182531337,491523,80.0,0.005,0.0014
81,81.0,429.56753737000446,491537,81.0,0.005,0.0014
82,82.0,429.5674992700186,491543,82.0,0.005,0.0014
83,83.0,429.5674288858201,491541,83.0,0.005,0.0014
84,84.0,429.56743838108304,491532,84.0,0.005,0.0014
85,85.0,429.5674904755678,491516,85.0,0.005,0.0014
86,86.0,429.56738825594294,491492,86.0,0.005,0.0014
87,87.0,429.5674726916512,491462,87.0,0.005,0.0014
88,88.0,429.567388292574,491432,88.0,0.005,0.0014
89,89.0,429.5674133442979,491398,89.0,0.005,0.0014
90,90.0,429.56753144769897,491359,90.0,0.005,0.0014
91,91.0,429.5674957400004,491313,91.0,0.005,0.0014
92,92.0,429.567473087585,491261,92.0,0.005,0.0014
93,93.0,429.56746069470006,491203,93.0,0.005,0.0014
94,94.0,429.5674385325189,491139,94.0,0.005,0.0014
95,95.0,429.5675410561855,491070,95.0,0.005,0.0014
96,96.0,429.5674141094122,490994,96.0,0.005,0.0014
97,97.0,429.5675672348018,490914,97.0,0.005,0.0014
98,98.0,429.5674461081613,490833,98.0,0.005,0.0014
99,99.0,429.5674530574194,490749,99.0,0.005,0.0014
100,100.0,429.567478416854,490661,100.0,0.005,0.0014
101,101.0,429.997630364421,443016,0.0,0.001,0.0014
102,102.0,429.56774681116616,441585,1.0,0.001,0.0014
103,103.0,429.5680449757885,440974,2.0,0.001,0.0014
104,104.0,429.56778395724945,440355,3.0,0.001,0.0014
105,105.0,429.56777371571314,439752,4.0,0.001,0.0014
106,106.0,429.56769851974866,439151,5.0,0.001,0.0014
107,107.0,429.56786243065744,438542,6.0,0.001,0.0014
108,108.0,429.5680603394118,437926,7.0,0.001,0.0014
109,109.0,429.5678294396317,437307,8.0,0.001,0.0014
110,110.0,429.5679743085617,436705,9.0,0.001,0.0014
111,111.0,429.56786983812594,436097,10.0,0.001,0.0014
112,112.0,429.56796406915186,435484,11.0,0.001,0.0014
113,113.0,429.56768318757,434858,12.0,0.001,0.0014
114,114.0,429.567889936116,434239,13.0,0.001,0.0014
115,115.0,429.56788224352664,433626,14.0,0.001,0.0014
116,116.0,429.5679293019512,433006,15.0,0.001,0.0014
117,117.0,429.567831984573,432379,16.0,0.001,0.0014
118,118.0,429.5677881627646,431749,17.0,0.001,0.0014
119,119.0,429.5679927313502,431136,18.0,0.001,0.0014
120,120.0,429.56790901652835,430512,19.0,0.001,0.0014
121,121.0,429.5677320794751,429881,20.0,0.001,0.0014
122,122.0,429.56768088013206,429244,21.0,0.001,0.0014
123,123.0,429.5679183095078,428619,22.0,0.001,0.0014
124,124.0,429.5679397410621,428002,23.0,0.001,0.0014
