,Unnamed: 0.1,Unnamed: 0,total_counts,area,time,D (um^2/s),alpha (1/s)
0,0.0,0.0,429.9977463584033,443016,0.0,0.0005,0.0024
1,1.0,1.0,429.5681091083091,440376,1.0,0.0005,0.0024
2,2.0,2.0,429.56823303451586,438595,2.0,0.0005,0.0024
3,3.0,3.0,429.56775521472184,436805,3.0,0.0005,0.0024
4,4.0,4.0,429.5682312317391,435012,4.0,0.0005,0.0024
5,5.0,5.0,429.5681317787532,433253,5.0,0.0005,0.0024
6,6.0,6.0,429.56809130072554,431487,6.0,0.0005,0.0024
7,7.0,7.0,429.5682008951068,429717,7.0,0.0005,0.0024
8,8.0,8.0,429.5680497658061,427981,8.0,0.0005,0.0024
9,9.0,9.0,429.5679022204153,426238,9.0,0.0005,0.0024
10,10.0,10.0,429.56792388440607,424494,10.0,0.0005,0.0024
11,11.0,11.0,429.5681405673023,422781,11.0,0.0005,0.0024
12,12.0,12.0,429.56821478790266,421060,12.0,0.0005,0.0024
13,13.0,13.0,429.5677792474899,419342,13.0,0.0005,0.0024
14,14.0,14.0,429.5680552641458,417650,14.0,0.0005,0.0024
15,15.0,15.0,429.5679601991972,415949,15.0,0.0005,0.0024
16,16.0,16.0,429.56780604688623,414259,16.0,0.0005,0.0024
17,17.0,17.0,429.56775153511626,412586,17.0,0.0005,0.0024
18,18.0,18.0,429.5680854694641,410905,18.0,0.0005,0.0024
19,19.0,19.0,429.5682254186579,409243,19.0,0.0005,0.0024
20,20.0,20.0,429.56792956551885,407589,20.0,0.0005,0.0024
21,21.0,21.0,429.56822605621466,405926,21.0,0.0005,0.0024
22,22.0,22.0,429.56799084493895,404291,22.0,0.0005,0.0024
23,23.0,23.0,429.56799485403513,402656,23.0,0.0005,0.0024
24,24.0,24.0,429.5677614960909,401011,24.0,0.0005,0.0024
25,25.0,25.0,429.5678169812816,399403,25.0,0.0005,0.0024
26,26.0,26.0,429.56817369259994,397786,26.0,0.0005,0.0024
27,27.0,27.0,429.56816377827,396169,27.0,0.0005,0.0024
28,28.0,28.0,429.5679758405024,394578,28.0,0.0005,0.0024
29,29.0,29.0,429.56821965039165,392977,29.0,0.0005,0.0024
30,30.0,30.0,429.5681122195295,391390,30.0,0.0005,0.0024
31,31.0,31.0,429.5677738550996,389813,31.0,0.0005,0.0024
32,32.0,32.0,429.56802967981184,388228,32.0,0.0005,0.0024
33,33.0,33.0,429.5679887073697,386671,33.0,0.0005,0.0024
34,34.0,34.0,429.5679570290806,385108,34.0,0.0005,0.0024
35,35.0,35.0,429.5677817249435,383548,35.0,0.0005,0.0024
36,36.0,36.0,429.568052963993,382011,36.0,0.0005,0.0024
37,37.0,37.0,429.5677538680905,380460,37.0,0.0005,0.0024
38,38.0,38.0,429.567768976549,378932,38.0,0.0005,0.0024
39,39.0,39.0,429.56814209694494,377408,39.0,0.0005,0.0024
40,40.0,40.0,429.5679488457043,375873,40.0,0.0005,0.0024
41,41.0,41.0,429.5680282243465,374373,41.0,0.0005,0.0024
42,42.0,42.0,429.5679746660392,372860,42.0,0.0005,0.0024
43,43.0,43.0,429.5681852490713,371358,43.0,0.0005,0.0024
44,44.0,44.0,429.5678200142609,369868,44.0,0.0005,0.0024
45,45.0,45.0,429.5679515149374,368368,45.0,0.0005,0.0024
46,46.0,46.0,429.5679135697723,366897,46.0,0.0005,0.0024
47,47.0,47.0,429.567981660472,365417,47.0,0.0005,0.0024
48,48.0,48.0,429.56806276187115,363948,48.0,0.0005,0.0024
49,49.0,49.0,429.5678300186271,362489,49.0,0.0005,0.0024
50,50.0,50.0,429.5679000069152,361019,50.0,0.0005,0.0024
51,51.0,51.0,429.56787803060325,359582,51.0,0.0005,0.0024
52,52.0,52.0,429.56775369255706,358132,52.0,0.0005,0.0024
53,53.0,53.0,429.5680768562258,356693,53.0,0.0005,0.0024
54,54.0,54.0,429.56799791617465,355267,54.0,0.0005,0.0024
55,55.0,55.0,429.56789323463954,353825,55.0,0.0005,0.0024
56,56.0,56.0,429.5679218773424,352410,56.0,0.0005,0.0024
57,57.0,57.0,429.5680269527454,350982,57.0,0.0005,0.0024
58,58.0,58.0,429.5681205399376,349569,58.0,0.0005,0.0024
59,59.0,59.0,429.5677781965042,348164,59.0,0.0005,0.0024
60,60.0,60.0,429.5678215983963,346754,60.0,0.0005,0.0024
