% Model:              advection_diffusion.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 30 2021, 11:54
% Dimension:          1
% Nodes:              41
% Expressions:        1
% Description:        Dependent variable u
% cln1x;u (mol/m^3) @ t=0
0.0000;9.9993E-8
0.25000;9.3994E-8
0.50000;8.5995E-8
0.75000;7.5996E-8
1.0000;6.3997E-8
1.2500;4.9998E-8
1.5000;3.6000E-8
1.7500;2.4001E-8
2.0000;1.4003E-8
2.2500;6.0037E-9
2.5000;4.7954E-12
2.7500;6.0040E-9
3.0000;1.4003E-8
3.2500;2.4002E-8
3.5000;3.6001E-8
3.7500;4.9999E-8
4.0000;6.4665E-8
4.2500;7.6997E-8
4.5000;8.6996E-8
4.7500;9.4662E-8
5.0000;9.9994E-8
5.2500;9.4184E-8
5.5000;8.6278E-8
5.7500;7.6278E-8
6.0000;6.4182E-8
6.2500;4.9991E-8
6.5000;2.4649E-8
6.7500;7.5088E-9
7.0000;-1.4296E-9
7.2500;-1.5065E-9
7.5000;-3.2564E-9
7.7500;-5.3080E-9
8.0000;-1.7198E-9
8.2500;7.5082E-9
8.5000;2.2376E-8
8.7500;4.2884E-8
9.0000;9.4086E-8
9.2500;1.0649E-7
9.5000;1.0001E-7
9.7500;1.0000E-7
10.000;9.9953E-8
