,Unnamed: 0,total_counts,area,time,D (um^2/s),alpha (1/s)
0,0.0,429.997611270476,443016,0.0,0.002,0.0019
1,1.0,429.5677841829552,441770,1.0,0.002,0.0019
2,2.0,429.5679563490079,441343,2.0,0.002,0.0019
3,3.0,429.56783653518306,440907,3.0,0.002,0.0019
4,4.0,429.567943214857,440462,4.0,0.002,0.0019
5,5.0,429.56788450926433,440008,5.0,0.002,0.0019
6,6.0,429.5678838777828,439558,6.0,0.002,0.0019
7,7.0,429.5677867365601,439100,7.0,0.002,0.0019
8,8.0,429.5679840655819,438629,8.0,0.002,0.0019
9,9.0,429.56786547446177,438146,9.0,0.002,0.0019
10,10.0,429.5677460407125,437651,10.0,0.002,0.0019
11,11.0,429.56764401573633,437142,11.0,0.002,0.0019
12,12.0,429.5680018183009,436630,12.0,0.002,0.0019
13,13.0,429.56797838522897,436121,13.0,0.002,0.0019
14,14.0,429.56798599937014,435598,14.0,0.002,0.0019
15,15.0,429.5678657677782,435064,15.0,0.002,0.0019
16,16.0,429.56798603036424,434521,16.0,0.002,0.0019
17,17.0,429.56794204965377,433963,17.0,0.002,0.0019
18,18.0,429.5678874307484,433404,18.0,0.002,0.0019
19,19.0,429.5679843791911,432848,19.0,0.002,0.0019
20,20.0,429.5676655364842,432279,20.0,0.002,0.0019
21,21.0,429.5677426760807,431700,21.0,0.002,0.0019
22,22.0,429.5676779634528,431111,22.0,0.002,0.0019
23,23.0,429.5677901785846,430514,23.0,0.002,0.0019
24,24.0,429.5679325766027,429921,24.0,0.002,0.0019
25,25.0,429.5677657463998,429319,25.0,0.002,0.0019
26,26.0,429.56765042385183,428707,26.0,0.002,0.0019
27,27.0,429.5677542138879,428086,27.0,0.002,0.0019
28,28.0,429.5678876650049,427460,28.0,0.002,0.0019
29,29.0,429.56780812942986,426841,29.0,0.002,0.0019
30,30.0,429.5679587024459,426212,30.0,0.002,0.0019
31,31.0,429.5678166886915,425573,31.0,0.002,0.0019
32,32.0,429.5678186849617,424926,32.0,0.002,0.0019
33,33.0,429.5676178038189,424278,33.0,0.002,0.0019
34,34.0,429.56771053079984,423639,34.0,0.002,0.0019
35,35.0,429.56765176261734,422995,35.0,0.002,0.0019
36,36.0,429.5679351166676,422338,36.0,0.002,0.0019
37,37.0,429.56787788733686,421670,37.0,0.002,0.0019
38,38.0,429.5679085534496,421009,38.0,0.002,0.0019
39,39.0,429.5676763057902,420349,39.0,0.002,0.0019
40,40.0,429.5678470393436,419684,40.0,0.002,0.0019
41,41.0,429.567633831714,419012,41.0,0.002,0.0019
42,42.0,429.56765508881506,418337,42.0,0.002,0.0019
43,43.0,429.5678758157,417666,43.0,0.002,0.0019
44,44.0,429.5676653652288,416989,44.0,0.002,0.0019
45,45.0,429.567743306252,416306,45.0,0.002,0.0019
46,46.0,429.56762730949856,415617,46.0,0.002,0.0019
47,47.0,429.5676387596714,414938,47.0,0.002,0.0019
48,48.0,429.5679224060942,414262,48.0,0.002,0.0019
49,49.0,429.5677801997635,413571,49.0,0.002,0.0019
50,50.0,429.56771464830047,412873,50.0,0.002,0.0019
51,51.0,429.56773155468414,412179,51.0,0.002,0.0019
52,52.0,429.5676756402809,411491,52.0,0.002,0.0019
53,53.0,429.56779750545616,410799,53.0,0.002,0.0019
54,54.0,429.56765440573304,410101,54.0,0.002,0.0019
55,55.0,429.56774054381555,409400,55.0,0.002,0.0019
56,56.0,429.5676591801858,408704,56.0,0.002,0.0019
57,57.0,429.5677125486787,408005,57.0,0.002,0.0019
58,58.0,429.5678053527191,407300,58.0,0.002,0.0019
59,59.0,429.5677041175703,406592,59.0,0.002,0.0019
60,60.0,429.56785139784,405895,60.0,0.002,0.0019
61,61.0,429.56774933246726,405196,61.0,0.002,0.0019
62,62.0,429.56790129837896,404487,62.0,0.002,0.0019
63,63.0,429.5676388980525,403772,63.0,0.002,0.0019
64,64.0,429.5677852511489,403067,64.0,0.002,0.0019
65,65.0,429.5678017282572,402363,65.0,0.002,0.0019
66,66.0,429.5677666422715,401654,66.0,0.002,0.0019
67,67.0,429.5676727761388,400941,67.0,0.002,0.0019
68,68.0,429.5676781625065,400230,68.0,0.002,0.0019
69,69.0,429.5676337425629,399519,69.0,0.002,0.0019
70,70.0,429.567884399921,398803,70.0,0.002,0.0019
71,71.0,429.5677810255713,398080,71.0,0.002,0.0019
72,72.0,429.5677744320214,397364,72.0,0.002,0.0019
73,73.0,429.56789814657657,396652,73.0,0.002,0.0019
74,74.0,429.5678407839024,395935,74.0,0.002,0.0019
75,75.0,429.56769851963486,395213,75.0,0.002,0.0019
76,76.0,429.5677310425719,394499,76.0,0.002,0.0019
77,77.0,429.5676885598315,393790,77.0,0.002,0.0019
78,78.0,429.5676200472323,393070,78.0,0.002,0.0019
79,79.0,429.5676159393397,392343,79.0,0.002,0.0019
80,80.0,429.5678715856681,391623,80.0,0.002,0.0019
81,81.0,429.5676799419399,390906,81.0,0.002,0.0019
82,82.0,429.56771906859535,390186,82.0,0.002,0.0019
83,83.0,429.56775514537173,389462,83.0,0.002,0.0019
84,84.0,429.56775534400674,388745,84.0,0.002,0.0019
85,85.0,429.56786753367214,388034,85.0,0.002,0.0019
86,86.0,429.5677868887559,387320,86.0,0.002,0.0019
87,87.0,429.56787911684086,386604,87.0,0.002,0.0019
88,88.0,429.5676750514792,385885,88.0,0.002,0.0019
89,89.0,429.56777373219006,385169,89.0,0.002,0.0019
90,90.0,429.5677858917212,384449,90.0,0.002,0.0019
91,91.0,429.56782228205617,383725,91.0,0.002,0.0019
92,92.0,429.5678816396478,383008,92.0,0.002,0.0019
93,93.0,429.5677421361467,382295,93.0,0.002,0.0019
94,94.0,429.56773968262894,381580,94.0,0.002,0.0019
95,95.0,429.5676813537778,380862,95.0,0.002,0.0019
96,96.0,429.5676227738423,380152,96.0,0.002,0.0019
97,97.0,429.5676896926338,379448,97.0,0.002,0.0019
98,98.0,429.5676834472671,378733,98.0,0.002,0.0019
99,99.0,429.5676850748684,378012,99.0,0.002,0.0019
100,100.0,429.5677922193741,377298,100.0,0.002,0.0019
101,101.0,429.9977037796494,443016,0.0,0.0005,0.0019
102,102.0,429.5680092497096,440825,1.0,0.0005,0.0019
103,103.0,429.5680475001965,439470,2.0,0.0005,0.0019
104,104.0,429.5678471082345,438112,3.0,0.0005,0.0019
105,105.0,429.5679211243316,436766,4.0,0.0005,0.0019
106,106.0,429.56808796315414,435416,5.0,0.0005,0.0019
107,107.0,429.5681557862693,434080,6.0,0.0005,0.0019
108,108.0,429.5679223062179,432738,7.0,0.0005,0.0019
109,109.0,429.5678893057771,431410,8.0,0.0005,0.0019
110,110.0,429.56773792549023,430078,9.0,0.0005,0.0019
111,111.0,429.56807480979353,428761,10.0,0.0005,0.0019
112,112.0,429.5680035608607,427437,11.0,0.0005,0.0019
113,113.0,429.5681982882843,426128,12.0,0.0005,0.0019
114,114.0,429.56788778076674,424815,13.0,0.0005,0.0019
115,115.0,429.56812486122305,423513,14.0,0.0005,0.0019
116,116.0,429.56816689246415,422209,15.0,0.0005,0.0019
117,117.0,429.5677069237983,420916,16.0,0.0005,0.0019
118,118.0,429.5679137820912,419621,17.0,0.0005,0.0019
119,119.0,429.56815654472086,418335,18.0,0.0005,0.0019
120,120.0,429.56778733393185,417051,19.0,0.0005,0.0019
121,121.0,429.56811730912153,415772,20.0,0.0005,0.0019
122,122.0,429.56817314023255,414497,21.0,0.0005,0.0019
123,123.0,429.567972246077,413225,22.0,0.0005,0.0019
124,124.0,429.56795894535674,411958,23.0,0.0005,0.0019
125,125.0,429.5680841918308,410686,24.0,0.0005,0.0019
126,126.0,429.56774250117024,409424,25.0,0.0005,0.0019
127,127.0,429.5679829785292,408159,26.0,0.0005,0.0019
128,128.0,429.5677807841823,406909,27.0,0.0005,0.0019
129,129.0,429.56792467103026,405653,28.0,0.0005,0.0019
130,130.0,429.5679850392637,404416,29.0,0.0005,0.0019
131,131.0,429.5680409998197,403160,30.0,0.0005,0.0019
132,132.0,429.56785880961064,401928,31.0,0.0005,0.0019
133,133.0,429.56787533920425,400681,32.0,0.0005,0.0019
134,134.0,429.5679725336864,399464,33.0,0.0005,0.0019
135,135.0,429.56811591654497,398228,34.0,0.0005,0.0019
136,136.0,429.568051924401,397021,35.0,0.0005,0.0019
