% Model:              advection_diffusion.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 30 2021, 11:55
% Dimension:          1
% Nodes:              41
% Expressions:        1
% Description:        Dependent variable u
% cln1x;u (mol/m^3) @ t=0
0.0000;1.0002E-7
0.25000;1.0601E-7
0.50000;1.0400E-7
0.75000;9.3999E-8
1.0000;7.5999E-8
1.2500;5.0002E-8
1.5000;2.4008E-8
1.7500;6.0097E-9
2.0000;-3.9920E-9
2.2500;-5.9974E-9
2.5000;-6.5713E-12
2.7500;-5.9974E-9
3.0000;-3.9918E-9
3.2500;6.0100E-9
3.5000;2.4008E-8
3.7500;5.0003E-8
4.0000;7.0143E-8
4.2500;8.5839E-8
4.5000;9.7090E-8
4.7500;1.0390E-7
5.0000;1.0626E-7
5.2500;1.0417E-7
5.5000;1.0439E-7
5.7500;1.0505E-7
6.0000;8.3590E-8
6.2500;4.0020E-8
6.5000;1.1924E-8
6.7500;-2.6939E-9
7.0000;-3.8327E-9
7.2500;-1.0444E-12
7.5000;6.1501E-13
7.7500;-1.7745E-12
8.0000;-3.9879E-9
8.2500;-3.9995E-9
8.5000;1.4002E-8
8.7500;5.0015E-8
9.0000;9.4825E-8
9.2500;1.0568E-7
9.5000;1.0001E-7
9.7500;1.0000E-7
10.000;9.9952E-8
