% Model:              advection_diffusion.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 25 2021, 16:34
% Dimension:          1
% Nodes:              21
% Expressions:        6
% Description:        Dependent variable u
% cln1x,u (mol/m^3) @ t=0,u (mol/m^3) @ t=20,u (mol/m^3) @ t=40,u (mol/m^3) @ t=80,u (mol/m^3) @ t=160,u (mol/m^3) @ t=990
0.0000,1.4460E-14,1.1622E-8,7.7358E-8,2.2916E-7,3.5114E-7,3.7730E-7
0.50000,-2.8582E-14,1.2781E-8,7.8926E-8,2.2817E-7,3.4715E-7,3.7261E-7
1.0000,-1.7618E-13,1.6304E-8,8.3418E-8,2.2514E-7,3.3546E-7,3.5892E-7
1.5000,2.6754E-13,2.2301E-8,9.0389E-8,2.1994E-7,3.1678E-7,3.3715E-7
2.0000,1.8249E-12,3.0867E-8,9.9031E-8,2.1241E-7,2.9235E-7,3.0888E-7
2.5000,-8.1348E-12,4.1833E-8,1.0822E-7,2.0245E-7,2.6377E-7,2.7616E-7
3.0000,1.4690E-11,5.4905E-8,1.1708E-7,1.9002E-7,2.3232E-7,2.4053E-7
3.5000,-4.3371E-11,6.9191E-8,1.2414E-7,1.7530E-7,2.0003E-7,2.0448E-7
4.0000,-2.1616E-10,8.3613E-8,1.2848E-7,1.5863E-7,1.6821E-7,1.6953E-7
4.5000,-1.7653E-9,9.6866E-8,1.2930E-7,1.4051E-7,1.3817E-7,1.3712E-7
5.0000,5.0242E-8,1.0753E-7,1.2626E-7,1.2163E-7,1.1074E-7,1.0808E-7
5.5000,1.0155E-7,1.1437E-7,1.1934E-7,1.0272E-7,8.6632E-8,8.3095E-8
6.0000,1.0023E-7,1.1645E-7,1.0897E-7,8.4538E-8,6.6223E-8,6.2404E-8
6.5000,1.0001E-7,1.1358E-7,9.6123E-8,6.7702E-8,4.9334E-8,4.5647E-8
7.0000,1.0004E-7,1.0591E-7,8.1624E-8,5.2626E-8,3.5822E-8,3.2554E-8
7.5000,1.0005E-7,9.4172E-8,6.6684E-8,3.9727E-8,2.5392E-8,2.2678E-8
8.0000,1.0002E-7,7.9726E-8,5.2318E-8,2.9037E-8,1.7504E-8,1.5372E-8
8.5000,1.0010E-7,6.3734E-8,3.9185E-8,2.0505E-8,1.1768E-8,1.0185E-8
9.0000,9.9860E-8,4.7986E-8,2.7990E-8,1.3959E-8,7.6831E-9,6.5636E-9
9.5000,1.0036E-7,3.3556E-8,1.8902E-8,9.1372E-9,4.8938E-9,4.1448E-9
10.000,9.8461E-8,2.1439E-8,1.1920E-8,5.6957E-9,3.0195E-9,2.5490E-9
