% Model:              advection_diffusion.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 30 2021, 12:00
% Dimension:          1
% Nodes:              41
% Expressions:        1
% Description:        Dependent variable u
% cln1x;u (mol/m^3) @ t=0
0.0000;1.0000E-7
0.25000;1.0000E-7
0.50000;1.0000E-7
0.75000;1.0000E-7
1.0000;9.9960E-8
1.2500;4.9986E-8
1.5000;4.3363E-11
1.7500;-3.4996E-12
2.0000;1.0444E-13
2.2500;5.5690E-15
2.5000;-9.1112E-16
2.7500;4.6124E-15
3.0000;1.5228E-13
3.2500;-4.0960E-12
3.5000;4.1565E-11
3.7500;5.0025E-8
4.0000;9.9958E-8
4.2500;1.0000E-7
4.5000;1.0000E-7
4.7500;1.0000E-7
5.0000;1.0000E-7
5.2500;1.0000E-7
5.5000;1.0000E-7
5.7500;1.0000E-7
6.0000;9.9959E-8
6.2500;4.9966E-8
6.5000;4.2786E-11
6.7500;-3.4527E-12
7.0000;1.0314E-13
7.2500;5.5123E-15
7.5000;-9.1827E-16
7.7500;4.7000E-15
8.0000;1.5649E-13
8.2500;-4.2170E-12
8.5000;4.2765E-11
8.7500;5.0016E-8
9.0000;9.9966E-8
9.2500;1.0001E-7
9.5000;1.0000E-7
9.7500;1.0001E-7
10.000;9.9819E-8
